ident,name,latitude_deg,longitude_deg
KABQ,Albuquerque International Sunport,35.039976,-106.608925
KADW,Joint Base Andrews,38.810799,-76.866997
KATL,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101
KAUS,Austin Bergstrom International Airport,30.197535,-97.662015
KBDL,Bradley International Airport,41.93851,-72.688066
KBNA,Nashville International Airport,36.1245,-86.6782
KBOS,Logan International Airport,42.36197,-71.0079
KBUF,Buffalo Niagara International Airport,42.940498,-78.732201
KBWI,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297
KCLE,Cleveland Hopkins International Airport,41.411701,-81.8498
KCLT,Charlotte Douglas International Airport,35.2140007,-80.94309998
KCMA,Camarillo International Airport,34.213699,-119.094002
KCMH,John Glenn Columbus International Airport,39.998001,-82.891899
KCVG,Cincinnati Northern Kentucky International Airport,39.048801,-84.667801
KDCA,Ronald Reagan Washington National Airport,38.8521,-77.037697
KDEN,Denver International Airport,39.86169815,-104.6729965
KDFW,Dallas Fort Worth International Airport,32.896801,-97.038002
KDTW,Detroit Metropolitan Wayne County Airport,42.21377,-83.353786
KEWR,Newark Liberty International Airport,40.692501,-74.168701
KFLL,Fort Lauderdale Hollywood International Airport,26.072599,-80.152702
KIAD,Washington Dulles International Airport,38.9445,-77.455803
KIAH,George Bush Intercontinental Houston Airport,29.9843998,-95.34140015
KIND,Indianapolis International Airport,39.7173,-86.294403
KJAX,Jacksonville International Airport,30.492469,-81.687813
KJFK,John F Kennedy International Airport,40.639447,-73.779317
KLAS,Harry Reid International Airport,36.083361,-115.151817
KLAX,Los Angeles International Airport,33.942501,-118.407997
KLGA,LaGuardia Airport,40.777199,-73.872597
KMCI,Kansas City International Airport,39.2976,-94.713898
KMCO,Orlando International Airport,28.42939949,-81.30899811
KMDW,Chicago Midway International Airport,41.785999,-87.752403
KMEM,Memphis International Airport,35.0424,-89.9767
KMIA,Miami International Airport,25.79319954,-80.29060364
KMKE,General Mitchell International Airport,42.947201,-87.896599
KMSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,44.880081,-93.221741
KMSY,Louis Armstrong New Orleans International Airport,29.993401,-90.258003
KOAK,San Francisco Bay Oakland International Airport,37.720085,-122.221184
KOKC,Will Rogers World Airport,35.393388,-97.598248
KOMA,Eppley Airfield,41.3032,-95.894096
KONT,Ontario International Airport,34.056,-117.600998
KORD,Chicago O'Hare International Airport,41.9786,-87.9048
KORF,Norfolk International Airport,36.895341,-76.201
KPBI,Palm Beach International Airport,26.683201,-80.095596
KPDX,Portland International Airport,45.588699,-122.598
KPHL,Philadelphia International Airport,39.871899,-75.241096
KPHX,Phoenix Sky Harbor International Airport,33.435302,-112.005905
KPIT,Pittsburgh International Airport,40.491501,-80.232903
KPVD,Theodore Francis Green State Airport,41.725038,-71.425668
KPWM,Portland International Jetport,43.646198,-70.309303
KRDU,Raleigh Durham International Airport,35.877602,-78.787498
KRIC,Richmond International Airport,37.505199,-77.319702
KRNO,Reno Tahoe International Airport,39.4991,-119.767998
KRSW,Southwest Florida International Airport,26.53619957,-81.75520325
KSAN,San Diego International Airport,32.73360062,-117.1900024
KSAT,San Antonio International Airport,29.533701,-98.469803
KSAV,Savannah Hilton Head International Airport,32.127602,-81.202103
KSDF,Louisville Muhammad Ali International Airport,38.1744,-85.736
KSEA,Seattle–Tacoma International Airport,47.447943,-122.310276
KSFB,Orlando Sanford International Airport,28.77759933,-81.23750305
KSFO,San Francisco International Airport,37.619806,-122.374821
KSJC,Norman Y. Mineta San Jose International Airport,37.362452,-121.929188
KSLC,Salt Lake City International Airport,40.78886,-111.979866
KSMF,Sacramento International Airport,38.6954,-121.591003
KSNA,John Wayne Orange County International Airport,33.675701,-117.867996
KSRQ,Sarasota Bradenton International Airport,27.394631,-82.554359
KSTL,St. Louis Lambert International Airport,38.748697,-90.370003
KSYR,Syracuse Hancock International Airport,43.11119843,-76.10630035
KTPA,Tampa International Airport,27.9755,-82.533203
KTUL,Tulsa International Airport,36.19839859,-95.88809967
PANC,Ted Stevens Anchorage International Airport,61.179004,-149.992561
PHNL,Daniel K Inouye International Airport,21.32062,-157.924228
PHOG,Kahului International Airport,20.896263,-156.431837